"variable","pip","is_true","method_scenario","dataset","mechanism","imputation"
"logmarg",NA,FALSE,"top","MI","MNAR","MEAN"
"AGE",0.966666666666667,TRUE,"top","MI","MNAR","MICE"
"SEX",0.0548717948717949,TRUE,"top","MI","MNAR","MICE"
"INF_ANAM",0.0187179487179487,TRUE,"top","MI","MNAR","MICE"
"STENOK_AN",0.981282051282051,TRUE,"top","MI","MNAR","MICE"
"FK_STENOK",0.0115384615384615,FALSE,"top","MI","MNAR","MICE"
"IBS_POST",0.00256410256410256,FALSE,"top","MI","MNAR","MICE"
"IBS_NASL",0.0107692307692308,FALSE,"top","MI","MNAR","MICE"
"GB",0.00102564102564103,FALSE,"top","MI","MNAR","MICE"
"SIM_GIPERT",0.00846153846153846,FALSE,"top","MI","MNAR","MICE"
"DLIT_AG",0.0130769230769231,FALSE,"top","MI","MNAR","MICE"
"ZSN_A",0.00846153846153846,FALSE,"top","MI","MNAR","MICE"
"nr_11",0,FALSE,"top","MI","MNAR","MICE"
"nr_01",0,FALSE,"top","MI","MNAR","MICE"
"nr_02",0.0156410256410256,FALSE,"top","MI","MNAR","MICE"
"nr_03",0.00974358974358974,FALSE,"top","MI","MNAR","MICE"
"nr_04",0.0397435897435897,FALSE,"top","MI","MNAR","MICE"
"nr_07",0.00564102564102564,FALSE,"top","MI","MNAR","MICE"
"nr_08",0.00153846153846154,FALSE,"top","MI","MNAR","MICE"
"np_01",0,FALSE,"top","MI","MNAR","MICE"
"np_04",0,FALSE,"top","MI","MNAR","MICE"
"np_05",0.00384615384615385,FALSE,"top","MI","MNAR","MICE"
"np_07",0.00128205128205128,FALSE,"top","MI","MNAR","MICE"
"np_08",0.00256410256410256,FALSE,"top","MI","MNAR","MICE"
"np_09",0.00128205128205128,FALSE,"top","MI","MNAR","MICE"
"np_10",0.0102564102564103,FALSE,"top","MI","MNAR","MICE"
"endocr_01",0.0153846153846154,FALSE,"top","MI","MNAR","MICE"
"endocr_02",0.00307692307692308,FALSE,"top","MI","MNAR","MICE"
"endocr_03",0.00230769230769231,FALSE,"top","MI","MNAR","MICE"
"zab_leg_01",0.23974358974359,FALSE,"top","MI","MNAR","MICE"
"zab_leg_02",0.00461538461538462,FALSE,"top","MI","MNAR","MICE"
"zab_leg_03",0.00307692307692308,FALSE,"top","MI","MNAR","MICE"
"zab_leg_04",0,FALSE,"top","MI","MNAR","MICE"
"zab_leg_06",0,FALSE,"top","MI","MNAR","MICE"
"S_AD_KBRIG",0.00615384615384615,FALSE,"top","MI","MNAR","MICE"
"D_AD_KBRIG",0.0138461538461538,FALSE,"top","MI","MNAR","MICE"
"S_AD_ORIT",0.00205128205128205,FALSE,"top","MI","MNAR","MICE"
"D_AD_ORIT",0.00153846153846154,FALSE,"top","MI","MNAR","MICE"
"O_L_POST",0.00307692307692308,FALSE,"top","MI","MNAR","MICE"
"K_SH_POST",0.000256410256410256,FALSE,"top","MI","MNAR","MICE"
"MP_TP_POST",0.00923076923076923,FALSE,"top","MI","MNAR","MICE"
"SVT_POST",0,FALSE,"top","MI","MNAR","MICE"
"GT_POST",0,FALSE,"top","MI","MNAR","MICE"
"FIB_G_POST",0.000256410256410256,FALSE,"top","MI","MNAR","MICE"
"ant_im",0.00512820512820513,FALSE,"top","MI","MNAR","MICE"
"lat_im",0.0138461538461538,FALSE,"top","MI","MNAR","MICE"
"inf_im",0.0238461538461538,FALSE,"top","MI","MNAR","MICE"
"post_im",0,FALSE,"top","MI","MNAR","MICE"
"IM_PG_P",0.0233333333333333,FALSE,"top","MI","MNAR","MICE"
"ritm_ecg_p_01",0.0123076923076923,FALSE,"top","MI","MNAR","MICE"
"ritm_ecg_p_02",0,FALSE,"top","MI","MNAR","MICE"
"ritm_ecg_p_04",0.00102564102564103,FALSE,"top","MI","MNAR","MICE"
"ritm_ecg_p_06",0.00333333333333333,FALSE,"top","MI","MNAR","MICE"
"ritm_ecg_p_07",0.00333333333333333,FALSE,"top","MI","MNAR","MICE"
"ritm_ecg_p_08",0,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_01",0.0651282051282051,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_02",0.00461538461538462,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_03",0.02,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_04",0.0405128205128205,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_05",0.000512820512820513,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_06",0,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_08",0.00384615384615385,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_09",0.000512820512820513,FALSE,"top","MI","MNAR","MICE"
"n_r_ecg_p_10",0.000512820512820513,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_01",0.00512820512820513,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_03",0.0102564102564103,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_04",0.00256410256410256,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_05",0.00871794871794872,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_06",0.0428205128205128,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_07",0.00974358974358974,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_08",0.0041025641025641,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_09",0.0115384615384615,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_10",0.00384615384615385,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_11",0.00153846153846154,FALSE,"top","MI","MNAR","MICE"
"n_p_ecg_p_12",0.0123076923076923,FALSE,"top","MI","MNAR","MICE"
"fibr_ter_01",0.00230769230769231,FALSE,"top","MI","MNAR","MICE"
"fibr_ter_02",0.0141025641025641,FALSE,"top","MI","MNAR","MICE"
